user,item,unknown,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,rating
1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
13,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
21,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
26,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
41,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
42,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
43,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
45,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
49,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
54,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
56,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
59,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
62,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
64,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
65,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
70,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
72,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
73,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
75,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
77,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
79,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
81,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
83,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
84,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
89,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
92,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
93,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
94,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
96,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
97,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
99,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
108,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
